,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,0,-34.89444444444444,-57.958333333333336,107.41826536940786,1.0
1,1,-31.56111111111111,-62.04166666666667,106.50192130987044,53.45123975057007
2,2,-30.76944444444444,-60.54166666666666,105.58715960044763,309.1724535580884
3,3,-45.93611111111111,-67.54166666666664,106.68093772733431,881.1195023929442
4,4,-34.1861111111111,-58.20805555555556,107.60280505323767,6824.499225674282
5,5,-31.64444444444445,-65.79138888888887,106.7848432861392,1.0
6,6,-34.602777777777774,-58.45805555555556,107.2466551864304,1.0
7,7,-34.85277777777779,-57.95805555555555,106.34656768993686,24968.24424825661
8,8,-34.85277777777779,-57.958333333333336,106.6567265835702,1.0
9,9,-34.644444444444446,-58.375,106.89132992552081,386.7580187647442
10,10,-33.81111111111111,-59.54166666666666,104.82790413200937,850.9593452027027
11,11,-33.0611111111111,-60.54166666666666,104.4,808.7062426504585
12,12,-40.14444444444445,-63.29166666666667,106.5337781196465,1.0
13,13,-40.14444444444445,-71.29166666666667,106.69469896879639,1.0
14,14,-26.83333333333333,-65.17777777777776,106.2081421303546,1.0
15,15,-34.608333333333334,-58.367777777777775,105.45268543835402,850.9822506626699
16,16,-31.327777777777776,-64.2461111111111,106.6795347733393,811.5465549622782
17,17,-34.49444444444445,-58.72777777777778,105.53792937919762,1.0
18,18,-26.01944444444444,-54.61527777777777,104.97667271442786,900.8820989758874
19,19,-31.63611111111112,-60.72416666666666,105.74341033880836,4905.699425668068
20,20,-34.611111111111114,-58.41666666666666,106.71557962610082,1.0
21,21,-34.88333333333333,-58.39444444444444,104.96895102673541,426.7618902689727
22,22,-34.75000000000001,-58.58333333333334,104.87466211494468,1539.055430052524
23,23,-29.41388888888889,-66.85749999999999,107.80036363508,11.264190860907746
24,24,-38.0,-57.5611111111111,105.72627190782036,83.85773499068247
25,25,-34.67777777777777,-58.75000000000001,106.94304659729299,877.8034171768667
26,26,-31.73333333333333,-60.53333333333333,104.88501529658244,9859.738066720887
27,27,-32.95,-60.67777777777777,105.67381281333361,4864.671780066689
28,28,-31.63611111111112,-60.72416666666666,104.4,848.6324625342494
29,29,-26.73333333333333,-65.27777777777777,106.08823821276488,2286.32063681337
30,30,-41.14444444444445,-71.34722222222221,107.01501506363105,164.04468931772
31,31,-34.597222222222214,-58.398333333333326,107.74623476731796,903.9336509709344
32,32,-45.85277777777779,-67.51305555555555,105.3820510081793,361.6839320627622
33,33,-33.35,-63.72777777777778,107.56702564236748,1.0
34,34,-38.72222222222223,-62.24944444444445,105.49255109036652,1868.6901855928163
35,35,-31.31666666666667,-64.22777777777777,105.97789715857036,823.135263907823
36,36,-31.31666666666667,-64.22777777777777,106.82624267490728,154.8728491141198
37,37,-46.43055555555556,-67.5361111111111,104.56025099791248,11871.471485375636
38,38,-34.19444444444444,-58.92777777777777,106.31362084810785,1.0
39,39,-31.25555555555556,-64.16750000000002,107.42879681433949,94.33234908524264
40,40,-33.12222222222223,-62.30277777777777,107.24861827007405,1.0
41,41,-34.92777777777777,-57.95,106.13222241117877,3052.0596360790014
42,42,-33.72777777777778,-61.31583333333332,104.4,1870.114013932511
43,43,-31.31666666666667,-60.65,107.58011258400919,114.72471402475456
44,44,-39.400000000000006,-65.7,105.08800006400014,1326.162701646483
45,45,-32.88333333333333,-68.82777777777775,105.62899924599903,210.06705872644244
46,46,-29.194444444444443,-58.07472222222224,106.08439353620419,2957.4784130131584
47,47,-31.350000000000005,-63.95,106.16601860051044,335.6953897936954
48,48,-31.73333333333333,-60.53333333333333,105.18648415266537,236.0164893812723
49,49,-26.8,-55.02777777777777,105.53782012731591,16846.488163392594
50,50,-32.95,-60.67777777777777,107.20734770575193,9.388678430278087
51,51,-34.72777777777778,-68.23333333333333,107.27799099498941,1.0
52,52,-34.24444444444444,-59.46833333333333,106.58138841476517,849.9834491119719
53,53,-38.63055555555555,-68.29861111111111,105.49048658087118,29514.678587757597
54,54,-37.833333333333336,-57.51111111111111,107.36414752906623,183.297977981658
55,55,-31.63611111111112,-60.72416666666666,105.73108987309166,1.0
56,56,-26.350000000000005,-60.44444444444444,105.46266712158248,126.30175671985778
57,57,-27.583333333333336,-60.72777777777778,104.64229639245816,442.6537710408935
58,58,-31.411111111111108,-64.51666666666667,105.52013563774557,1.0
59,59,-30.89166666666667,-63.11694444444444,106.90218446917392,920.3194771545076
60,60,-31.16111111111111,-63.40416666666667,105.67632468738243,47944.14164381199
61,61,-34.56111111111112,-58.45833333333334,104.79931465911622,329.8812854925301
62,62,-26.416666666666668,-54.62777777777777,106.07378244941656,149.11460871474017
63,63,-38.55833333333332,-58.74472222222222,107.71494783213838,217.1179224098605
64,64,-34.56944444444445,-58.71916666666667,104.97165943108156,1.0
65,65,-26.827777777777776,-65.14444444444443,105.4486319159773,9777.244156777862
