,Unnamed: 0,Latitude in degrees,Longitude in degrees,Frequency(MHz),EIRP
0,0,-15.713861048008212,-58.7109375,101.54874838629824,5.0
1,1,-29.313198964168336,-50.9765625,102.05437915001802,7497.1908576620435
2,2,-22.9933943142978,-45.0,100.03207614774124,5.0
3,3,-21.06181760164931,-48.515625,103.9802674439961,5.0
4,4,-6.880079227870652,-36.5625,98.43629858424859,389.19090521897743
5,5,-6.880079227870652,-36.5625,102.1223004976483,5.0
6,6,-3.882372003029573,-68.203125,99.63523658746388,8259.366480206667
7,7,-26.61009781073392,-48.8671875,100.28401289776733,5.0
8,8,-21.06181760164931,-47.109375,104.56285672795096,5.0
9,9,-22.6696098717504,-46.7578125,106.77524484000126,5.0
10,10,-1.7907846593289634,-45.3515625,103.09113089801176,5.0
11,11,-30.00000000000001,-52.3828125,101.94462224921637,5.0
12,12,-25.282603043311997,-50.2734375,99.93179605552223,5.0
13,13,-8.385538647081319,-41.8359375,98.12939691161947,8342.60723442241
14,14,-7.481631264246957,-36.5625,101.65890194284434,14685.66031447692
15,15,-7.481631264246957,-35.859375,100.80151075226287,5.0
16,16,-12.024699180565818,-40.4296875,98.83643945520511,5.0
17,17,-19.788049410669583,-42.890625,98.13712567074705,5.0
18,18,-16.957763300004146,-49.5703125,105.43723503063583,29918.256097945792
19,19,-11.4151577427305,-39.72656250000006,97.85129122229495,112918.19183513166
20,20,-21.38194257983889,-56.6015625,98.67508429708856,5.0
21,21,-6.579592944977634,-43.94531250000006,102.62085234151883,1908.4711835878893
22,22,-11.4151577427305,-37.6171875,105.33923206741343,5.0
23,23,-15.094787099543195,-43.2421875,103.07647577163189,5.0
24,24,-17.896089316234637,-49.92187500000006,98.59295696539601,5.0
25,25,-23.969482317759685,-48.1640625,102.4500538125605,5.0
26,26,-8.084013907099305,-42.890625,97.64357477340032,5.0
27,27,-19.788049410669583,-49.92187500000006,101.88489950316325,5.0
28,28,-20.74237995448715,-41.1328125,97.8613243702962,21.61367877840842
29,29,-3.2843691083657944,-42.890625,105.82234085752572,5.0
30,30,-21.06181760164931,-42.890625,107.51915049275343,5.0
31,31,-7.180755781458288,-36.21093750000006,103.65458890520354,5.0
32,32,-3.882372003029573,-40.07812500000006,101.01304078995604,5.0
33,33,-29.313198964168336,-51.67968750000006,104.75673064446833,5.0
34,34,-29.656013541178424,-49.92187500000006,105.99874268168044,5.0
35,35,-24.296477994805656,-51.328125,104.13801233823703,5.0
36,36,-12.024699180565818,-39.0234375,97.68948524319723,5.0
37,37,-5.379378991112077,-43.2421875,98.84726460416425,5.0
38,38,-22.346587898361136,-48.515625,99.82650835012025,5.0
39,39,-17.27000469497446,-53.43750000000006,101.33547507215081,5.0
40,40,-5.979156796301311,-35.5078125,98.14918111726566,2633.0194556873544
41,41,-19.155010073563744,-45.70312500000006,100.54575737048435,5.0
42,42,-2.6867241856916024,-43.59375,104.30792535722607,5.0
43,43,-27.95318688338115,-49.5703125,100.10129182142745,5.0
44,44,-10.199918091116302,-63.6328125,105.1941297546483,5.0
45,45,-22.02431283704216,-50.9765625,100.68832983447766,5.0
46,46,-12.635625093021131,-60.1171875,105.04982205309881,5.0
47,47,-19.788049410669583,-44.296875,99.51932959097678,5.0
48,48,-20.10550978791601,-43.94531250000006,103.03236404991107,19243.84130564509
49,49,-7.481631264246957,-35.859375,98.03192824206637,5.0
50,50,-30.00000000000001,-52.3828125,106.73030284329026,5.0
51,51,-23.969482317759685,-53.78906250000006,98.02960171961728,5.0
52,52,-28.971532223711293,-49.92187500000006,107.78106718954034,29891.565204780512
53,53,-27.6158819838447,-50.625,103.5432842882513,2738.830336032222
54,54,-21.06181760164931,-49.21875000000006,105.04221780875633,5.0
55,55,-28.63098983692436,-54.4921875,98.63280828823783,4523.001381707435
56,56,-4.780191847199163,-42.5390625,103.52047770200032,5.0
57,57,-7.782714385390946,-36.21093750000006,100.82937329078015,4418.213523609436
58,58,-3.2843691083657944,-45.70312500000006,104.08954618329513,4379.250733415812
59,59,-12.941631985423356,-38.671875,101.9331773298254,5.0
60,60,-16.024100308155866,-56.25,98.59297166206524,475.980568828881
61,61,-10.806922874860348,-62.9296875,103.48499657500234,5.0
62,62,-25.282603043311997,-53.0859375,102.15118566376348,5.0
