,Latitude in degrees,Longitude in degrees,Longitude in degrees.1,EIRP
0,34.854166666666664,32.87500000000001,50.018,15
1,35.320277777777775,33.163888888888884,87.5,25000
2,35.19083333333332,32.66777777777777,87.7,50
3,35.00527777777778,32.84722222222223,87.7,0
4,35.381944444444436,33.879999999999995,87.8,10000
5,34.74166666666666,33.131666666666675,87.9,0
6,35.00555555555556,34.02972222222221,87.9,0
7,35.08361111111112,32.73138888888889,87.9,0
8,35.320277777777775,33.163888888888884,88.0,1000
9,34.938611111111115,32.860555555555564,88.2,30000
10,35.31944444444446,33.16111111111111,88.4,5000
11,34.95944444444444,32.39611111111111,88.5,300
12,34.760555555555555,33.04638888888889,88.5,0
13,35.00527777777778,32.84722222222223,88.5,0
14,35.00555555555556,34.02972222222221,88.5,0
15,35.320277777777775,33.163888888888884,88.6,0
16,34.74166666666666,33.131666666666675,88.7,0
17,34.65027777777777,32.69555555555555,88.7,0
18,35.31944444444446,33.16111111111111,88.8,1000
19,34.901111111111106,33.22416666666667,89.0,155000
20,34.84027777777777,32.45027777777778,89.0,0
21,35.30555555555556,33.279166666666654,89.2,5000
22,34.760555555555555,33.04638888888889,89.2,0
23,34.901111111111106,33.22416666666667,89.4,81000
24,34.760555555555555,33.04638888888889,89.4,0
25,34.84027777777777,32.45027777777778,89.4,0
26,35.381944444444436,33.8811111111111,89.5,0
27,35.210555555555565,33.35805555555555,89.6,0
28,34.760555555555555,33.04638888888889,89.6,0
29,35.1561111111111,33.295833333333334,89.7,1500
30,35.09361111111111,33.885555555555555,89.7,0
31,35.381944444444436,33.8811111111111,89.8,13000
32,34.57222222222222,33.00666666666667,89.9,63000
33,35.320277777777775,33.163888888888884,90.0,1000
34,35.00555555555556,34.02972222222221,90.0,0
35,34.901111111111106,33.22416666666667,90.2,85000
36,34.84083333333333,32.44972222222223,90.2,7000
37,35.320277777777775,33.163888888888884,90.4,25000
38,34.74166666666666,33.131666666666675,90.5,2000
39,34.84027777777777,32.45027777777778,90.5,0
40,35.00555555555556,34.02972222222221,90.5,0
41,35.381944444444436,33.879999999999995,90.6,10000
42,35.381944444444436,33.8811111111111,90.8,25000
43,34.760555555555555,33.04638888888889,90.8,0
44,35.00527777777778,32.84722222222223,90.8,0
45,34.84027777777777,32.45027777777778,90.8,0
46,35.320277777777775,33.163888888888884,90.9,0
47,34.938611111111115,32.860555555555564,91.1,30000
48,35.320277777777775,33.163888888888884,91.3,0
49,35.00555555555556,34.02972222222221,91.4,4000
50,34.95944444444444,32.39611111111111,91.4,300
51,34.760555555555555,33.04638888888889,91.4,0
52,35.1575,33.33888888888889,91.4,0
53,35.320277777777775,33.163888888888884,91.5,0
54,34.760555555555555,33.04638888888889,91.6,0
55,35.1561111111111,33.295833333333334,91.7,1500
56,34.88583333333334,33.43527777777778,91.9,2600
